,Идентификационный номер,Выжившие,Класс пассажира,Имя,Пол,Возраст,Количество братьев/сестер,Количество родственников,Номер билета,Плата за проезд,Каюта,Порт посадки
0,1,0,3,"Braund, Mr. Owen Harris",male,2000.0,1,0,A/5 21171,7.25,G6,S
1,2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,1984.0,1,0,PC 17599,71.2833,C85,C
2,3,1,3,"Heikkinen, Miss. Laina",female,1996.0,0,0,STON/O2. 3101282,7.925,G6,S
3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1987.0,1,0,113803,53.1,C123,S
4,5,0,3,"Allen, Mr. William Henry",male,1987.0,0,0,373450,8.05,G6,S
5,6,0,3,"Moran, Mr. James",male,1992.3008823529412,0,0,330877,8.4583,G6,Q
6,7,0,1,"McCarthy, Mr. Timothy J",male,1968.0,0,0,17463,51.8625,E46,S
7,8,0,3,"Palsson, Master. Gosta Leonard",male,2020.0,3,1,349909,21.075,G6,S
8,9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,1995.0,0,2,347742,11.1333,G6,S
9,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,2008.0,1,0,237736,30.0708,G6,C
10,11,1,3,"Sandstrom, Miss. Marguerite Rut",female,2018.0,1,1,PP 9549,16.7,G6,S
11,12,1,1,"Bonnell, Miss. Elizabeth",female,1964.0,0,0,113783,26.55,C103,S
12,13,0,3,"Saundercock, Mr. William Henry",male,2002.0,0,0,A/5. 2151,8.05,G6,S
13,14,0,3,"Andersson, Mr. Anders Johan",male,1983.0,1,5,347082,31.275,G6,S
14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,2008.0,0,0,350406,7.8542,G6,S
15,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,1967.0,0,0,248706,16.0,G6,S
16,17,0,3,"Rice, Master. Eugene",male,2020.0,4,1,382652,29.125,G6,Q
17,18,1,2,"Williams, Mr. Charles Eugene",male,1992.3008823529412,0,0,244373,13.0,G6,S
18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,1991.0,1,0,345763,18.0,G6,S
19,20,1,3,"Masselmani, Mrs. Fatima",female,1992.3008823529412,0,0,2649,7.225,G6,C
20,21,0,2,"Fynney, Mr. Joseph J",male,1987.0,0,0,239865,26.0,G6,S
21,22,1,2,"Beesley, Mr. Lawrence",male,1988.0,0,0,248698,13.0,D56,S
22,23,1,3,"McGowan, Miss. Anna ""Annie""",female,2007.0,0,0,330923,8.0292,G6,Q
23,24,1,1,"Sloper, Mr. William Thompson",male,1994.0,0,0,113788,35.5,A6,S
24,25,0,3,"Palsson, Miss. Torborg Danira",female,2014.0,3,1,349909,21.075,G6,S
25,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,1984.0,1,5,347077,31.3875,G6,S
26,27,0,3,"Emir, Mr. Farred Chehab",male,1992.3008823529412,0,0,2631,7.225,G6,C
27,28,0,1,"Fortune, Mr. Charles Alexander",male,2003.0,3,2,19950,263.0,C23 C25 C27,S
28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,1992.3008823529412,0,0,330959,7.8792,G6,Q
29,30,0,3,"Todoroff, Mr. Lalio",male,1992.3008823529412,0,0,349216,7.8958,G6,S
30,31,0,1,"Uruchurtu, Don. Manuel E",male,1982.0,0,0,PC 17601,27.7208,G6,C
31,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,1992.3008823529412,1,0,PC 17569,146.5208,B78,C
32,33,1,3,"Glynn, Miss. Mary Agatha",female,1992.3008823529412,0,0,335677,7.75,G6,Q
33,34,0,2,"Wheadon, Mr. Edward H",male,1956.0,0,0,C.A. 24579,10.5,G6,S
34,35,0,1,"Meyer, Mr. Edgar Joseph",male,1994.0,1,0,PC 17604,82.1708,G6,C
35,36,0,1,"Holverson, Mr. Alexander Oskar",male,1980.0,1,0,113789,52.0,G6,S
36,37,1,3,"Mamee, Mr. Hanna",male,1992.3008823529412,0,0,2677,7.2292,G6,C
37,38,0,3,"Cann, Mr. Ernest Charles",male,2001.0,0,0,A./5. 2152,8.05,G6,S
38,39,0,3,"Vander Planke, Miss. Augusta Maria",female,2004.0,2,0,345764,18.0,G6,S
39,40,1,3,"Nicola-Yarred, Miss. Jamila",female,2008.0,1,0,2651,11.2417,G6,C
40,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,1982.0,1,0,7546,9.475,G6,S
41,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,1995.0,1,0,11668,21.0,G6,S
42,43,0,3,"Kraeff, Mr. Theodor",male,1992.3008823529412,0,0,349253,7.8958,G6,C
43,44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,2019.0,1,2,SC/Paris 2123,41.5792,G6,C
44,45,1,3,"Devaney, Miss. Margaret Delia",female,2003.0,0,0,330958,7.8792,G6,Q
45,46,0,3,"Rogers, Mr. William John",male,1992.3008823529412,0,0,S.C./A.4. 23567,8.05,G6,S
46,47,0,3,"Lennon, Mr. Denis",male,1992.3008823529412,1,0,370371,15.5,G6,Q
47,48,1,3,"O'Driscoll, Miss. Bridget",female,1992.3008823529412,0,0,14311,7.75,G6,Q
48,49,0,3,"Samaan, Mr. Youssef",male,1992.3008823529412,2,0,2662,21.6792,G6,C
49,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,2004.0,1,0,349237,17.8,G6,S
50,51,0,3,"Panula, Master. Juha Niilo",male,2015.0,4,1,3101295,39.6875,G6,S
51,52,0,3,"Nosworthy, Mr. Richard Cater",male,2001.0,0,0,A/4. 39886,7.8,G6,S
52,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1973.0,1,0,PC 17572,76.7292,D33,C
53,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,1993.0,1,0,2926,26.0,G6,S
54,55,0,1,"Ostby, Mr. Engelhart Cornelius",male,1957.0,0,1,113509,61.9792,B30,C
55,56,1,1,"Woolner, Mr. Hugh",male,1992.3008823529412,0,0,19947,35.5,C52,S
56,57,1,2,"Rugg, Miss. Emily",female,2001.0,0,0,C.A. 31026,10.5,G6,S
57,58,0,3,"Novel, Mr. Mansouer",male,1993.5,0,0,2697,7.2292,G6,C
58,59,1,2,"West, Miss. Constance Mirium",female,2017.0,1,2,C.A. 34651,27.75,G6,S
59,60,0,3,"Goodwin, Master. William Frederick",male,2011.0,5,2,CA 2144,46.9,G6,S
60,61,0,3,"Sirayanian, Mr. Orsen",male,2000.0,0,0,2669,7.2292,G6,C
61,62,1,1,"Icard, Miss. Amelie",female,1984.0,0,0,113572,80.0,B28,S
62,63,0,1,"Harris, Mr. Henry Birkhardt",male,1977.0,1,0,36973,83.475,C83,S
63,64,0,3,"Skoog, Master. Harald",male,2018.0,3,2,347088,27.9,G6,S
64,65,0,1,"Stewart, Mr. Albert A",male,1992.3008823529412,0,0,PC 17605,27.7208,G6,C
65,66,1,3,"Moubarek, Master. Gerios",male,1992.3008823529412,1,1,2661,15.2458,G6,C
66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,1993.0,0,0,C.A. 29395,10.5,F33,S
67,68,0,3,"Crease, Mr. Ernest James",male,2003.0,0,0,S.P. 3464,8.1583,G6,S
68,69,1,3,"Andersson, Miss. Erna Alexandra",female,2005.0,4,2,3101281,7.925,G6,S
69,70,0,3,"Kink, Mr. Vincenz",male,1996.0,2,0,315151,8.6625,G6,S
70,71,0,2,"Jenkin, Mr. Stephen Curnow",male,1990.0,0,0,C.A. 33111,10.5,G6,S
71,72,0,3,"Goodwin, Miss. Lillian Amy",female,2006.0,5,2,CA 2144,46.9,G6,S
72,73,0,2,"Hood, Mr. Ambrose Jr",male,2001.0,0,0,S.O.C. 14879,73.5,G6,S
73,74,0,3,"Chronopoulos, Mr. Apostolos",male,1996.0,1,0,2680,14.4542,G6,C
74,75,1,3,"Bing, Mr. Lee",male,1990.0,0,0,1601,56.4958,G6,S
75,76,0,3,"Moen, Mr. Sigurd Hansen",male,1997.0,0,0,348123,7.65,F G73,S
76,77,0,3,"Staneff, Mr. Ivan",male,1992.3008823529412,0,0,349208,7.8958,G6,S
77,78,0,3,"Moutal, Mr. Rahamin Haim",male,1992.3008823529412,0,0,374746,8.05,G6,S
78,79,1,2,"Caldwell, Master. Alden Gates",male,2021.17,0,2,248738,29.0,G6,S
79,80,1,3,"Dowdell, Miss. Elizabeth",female,1992.0,0,0,364516,12.475,G6,S
80,81,0,3,"Waelens, Mr. Achille",male,2000.0,0,0,345767,9.0,G6,S
81,82,1,3,"Sheerlinck, Mr. Jan Baptist",male,1993.0,0,0,345779,9.5,G6,S
82,83,1,3,"McDermott, Miss. Brigdet Delia",female,1992.3008823529412,0,0,330932,7.7875,G6,Q
83,84,0,1,"Carrau, Mr. Francisco M",male,1994.0,0,0,113059,47.1,G6,S
84,85,1,2,"Ilett, Miss. Bertha",female,2005.0,0,0,SO/C 14885,10.5,G6,S
85,86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,1989.0,3,0,3101278,15.85,G6,S
86,87,0,3,"Ford, Mr. William Neal",male,2006.0,1,3,W./C. 6608,34.375,G6,S
87,88,0,3,"Slocovski, Mr. Selman Francis",male,1992.3008823529412,0,0,SOTON/OQ 392086,8.05,G6,S
88,89,1,1,"Fortune, Miss. Mabel Helen",female,1999.0,3,2,19950,263.0,C23 C25 C27,S
89,90,0,3,"Celotti, Mr. Francesco",male,1998.0,0,0,343275,8.05,G6,S
90,91,0,3,"Christmann, Mr. Emil",male,1993.0,0,0,343276,8.05,G6,S
91,92,0,3,"Andreasson, Mr. Paul Edvin",male,2002.0,0,0,347466,7.8542,G6,S
92,93,0,1,"Chaffee, Mr. Herbert Fuller",male,1976.0,1,0,W.E.P. 5734,61.175,E31,S
93,94,0,3,"Dean, Mr. Bertram Frank",male,1996.0,1,2,C.A. 2315,20.575,G6,S
94,95,0,3,"Coxon, Mr. Daniel",male,1963.0,0,0,364500,7.25,G6,S
95,96,0,3,"Shorney, Mr. Charles Joseph",male,1992.3008823529412,0,0,374910,8.05,G6,S
96,97,0,1,"Goldschmidt, Mr. George B",male,1951.0,0,0,PC 17754,34.6542,A5,C
97,98,1,1,"Greenfield, Mr. William Bertram",male,1999.0,0,1,PC 17759,63.3583,D10 D12,C
98,99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,1988.0,0,1,231919,23.0,G6,S
99,100,0,2,"Kantor, Mr. Sinai",male,1988.0,1,0,244367,26.0,G6,S
100,101,0,3,"Petranec, Miss. Matilda",female,1994.0,0,0,349245,7.8958,G6,S
101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,1992.3008823529412,0,0,349215,7.8958,G6,S
102,103,0,1,"White, Mr. Richard Frasar",male,2001.0,0,1,35281,77.2875,D26,S
103,104,0,3,"Johansson, Mr. Gustaf Joel",male,1989.0,0,0,7540,8.6542,G6,S
104,105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,1985.0,2,0,3101276,7.925,G6,S
105,106,0,3,"Mionoff, Mr. Stoytcho",male,1994.0,0,0,349207,7.8958,G6,S
106,107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,2001.0,0,0,343120,7.65,G6,S
107,108,1,3,"Moss, Mr. Albert Johan",male,1992.3008823529412,0,0,312991,7.775,G6,S
108,109,0,3,"Rekic, Mr. Tido",male,1984.0,0,0,349249,7.8958,G6,S
109,110,1,3,"Moran, Miss. Bertha",female,1992.3008823529412,1,0,371110,24.15,G6,Q
