–Т—Л–ґ–Є–ї;P–Ї–ї–∞—Б—Б;–°–µ–Ї—Б;–Т–Њ–Ј—А–∞—Б—В;–°–Є–±—Б–њ;–Я–∞—А—З;–Я—А–Њ–µ–Ј–і–љ–Њ–є –±–Є–ї–µ—В;–Ґ—А–∞–љ—Б–њ–Њ—А—В–љ—Л–µ —А–∞—Б—Е–Њ–і—Л;–Ъ–∞–±–Є–љ–∞;–Ю—В–њ—А–∞–≤–Є–ї—Б—П
0;3;male;2000.0;1;0;A/5 21171;2025-07-01 00:00:00;B96 B98;S
1;1;female;1984.0;1;0;PC 17599;71.2833;C85;C
1;3;female;1996.0;0;0;STON/O2. 3101282;7.925;B96 B98;S
1;1;female;1987.0;1;0;113803;53.1;C123;S
0;3;male;1987.0;0;0;373450;2022-05-08 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;330877;4583-08-01 00:00:00;B96 B98;Q
0;1;male;1968.0;0;0;17463;51.8625;E46;S
0;3;male;2020.0;3;1;349909;21.075;B96 B98;S
1;3;female;1995.0;0;2;347742;11.1333;B96 B98;S
1;2;female;2008.0;1;0;237736;30.0708;B96 B98;C
1;3;female;2018.0;1;1;PP 9549;2022-07-16 00:00:00;G6;S
1;1;female;1964.0;0;0;113783;26.55;C103;S
0;3;male;2002.0;0;0;A/5. 2151;2022-05-08 00:00:00;B96 B98;S
0;3;male;1983.0;1;5;347082;31.275;B96 B98;S
0;3;female;2008.0;0;0;350406;8542-07-01 00:00:00;B96 B98;S
1;2;female;1967.0;0;0;248706;16.0;B96 B98;S
0;3;male;2020.0;4;1;382652;29.125;B96 B98;Q
1;2;male;1992.3008823529408;0;0;244373;13.0;B96 B98;S
0;3;female;1991.0;1;0;345763;18.0;B96 B98;S
1;3;female;1992.3008823529408;0;0;2649;7.225;B96 B98;C
0;2;male;1987.0;0;0;239865;26.0;B96 B98;S
1;2;male;1988.0;0;0;248698;13.0;D56;S
1;3;female;2007.0;0;0;330923;8.0292;B96 B98;Q
1;1;male;1994.0;0;0;113788;35.5;A6;S
0;3;female;2014.0;3;1;349909;21.075;B96 B98;S
1;3;female;1984.0;1;5;347077;31.3875;B96 B98;S
0;3;male;1992.3008823529408;0;0;2631;7.225;B96 B98;C
0;1;male;2003.0;3;2;19950;263.0;C23 C25 C27;S
1;3;female;1992.3008823529408;0;0;330959;8792-07-01 00:00:00;B96 B98;Q
0;3;male;1992.3008823529408;0;0;349216;8958-07-01 00:00:00;B96 B98;S
0;1;male;1982.0;0;0;PC 17601;27.7208;B96 B98;C
1;1;female;1992.3008823529408;1;0;PC 17569;146.5208;B78;C
1;3;female;1992.3008823529408;0;0;335677;1975-07-01 00:00:00;B96 B98;Q
0;2;male;1956.0;0;0;C.A. 24579;2022-05-10 00:00:00;B96 B98;S
0;1;male;1994.0;1;0;PC 17604;82.1708;B96 B98;C
0;1;male;1980.0;1;0;113789;52.0;B96 B98;S
1;3;male;1992.3008823529408;0;0;2677;2292-07-01 00:00:00;B96 B98;C
0;3;male;2001.0;0;0;A./5. 2152;2022-05-08 00:00:00;B96 B98;S
0;3;female;2004.0;2;0;345764;18.0;B96 B98;S
1;3;female;2008.0;1;0;2651;2417-11-01 00:00:00;B96 B98;C
0;3;female;1982.0;1;0;7546;9.475;B96 B98;S
0;2;female;1995.0;1;0;11668;21.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;349253;8958-07-01 00:00:00;B96 B98;C
1;2;female;2019.0;1;2;SC/Paris 2123;41.5792;B96 B98;C
1;3;female;2003.0;0;0;330958;8792-07-01 00:00:00;B96 B98;Q
0;3;male;1992.3008823529408;0;0;S.C./A.4. 23567;2022-05-08 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;1;0;370371;2022-05-15 00:00:00;B96 B98;Q
1;3;female;1992.3008823529408;0;0;14311;1975-07-01 00:00:00;B96 B98;Q
0;3;male;1992.3008823529408;2;0;2662;21.6792;B96 B98;C
0;3;female;2004.0;1;0;349237;2022-08-17 00:00:00;B96 B98;S
0;3;male;2015.0;4;1;3101295;39.6875;B96 B98;S
0;3;male;2001.0;0;0;A/4. 39886;2022-08-07 00:00:00;B96 B98;S
1;1;female;1973.0;1;0;PC 17572;76.7292;D33;C
1;2;female;1993.0;1;0;2926;26.0;B96 B98;S
0;1;male;1957.0;0;1;113509;61.9792;B30;C
1;1;male;1992.3008823529408;0;0;19947;35.5;C52;S
1;2;female;2001.0;0;0;C.A. 31026;2022-05-10 00:00:00;B96 B98;S
0;3;male;1993.5;0;0;2697;2292-07-01 00:00:00;B96 B98;C
1;2;female;2017.0;1;2;C.A. 34651;27.75;B96 B98;S
0;3;male;2011.0;5;2;CA 2144;46.9;B96 B98;S
0;3;male;2000.0;0;0;2669;2292-07-01 00:00:00;B96 B98;C
1;1;female;1984.0;0;0;113572;80.0;B28;S
0;1;male;1977.0;1;0;36973;83.475;C83;S
0;3;male;2018.0;3;2;347088;2022-09-27 00:00:00;B96 B98;S
0;1;male;1992.3008823529408;0;0;PC 17605;27.7208;B96 B98;C
1;3;male;1992.3008823529408;1;1;2661;15.2458;B96 B98;C
1;2;female;1993.0;0;0;C.A. 29395;2022-05-10 00:00:00;F33;S
0;3;male;2003.0;0;0;S.P. 3464;8.1583;B96 B98;S
1;3;female;2005.0;4;2;3101281;7.925;B96 B98;S
0;3;male;1996.0;2;0;315151;6625-08-01 00:00:00;B96 B98;S
0;2;male;1990.0;0;0;C.A. 33111;2022-05-10 00:00:00;B96 B98;S
0;3;female;2006.0;5;2;CA 2144;46.9;B96 B98;S
0;2;male;2001.0;0;0;S.O.C. 14879;73.5;B96 B98;S
0;3;male;1996.0;1;0;2680;14.4542;B96 B98;C
1;3;male;1990.0;0;0;1601;56.4958;B96 B98;S
0;3;male;1997.0;0;0;348123;1965-07-01 00:00:00;F G73;S
0;3;male;1992.3008823529408;0;0;349208;8958-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;374746;2022-05-08 00:00:00;B96 B98;S
1;2;male;2021.17;0;2;248738;29.0;B96 B98;S
1;3;female;1992.0;0;0;364516;12.475;B96 B98;S
0;3;male;2000.0;0;0;345767;9.0;B96 B98;S
1;3;male;1993.0;0;0;345779;2022-05-09 00:00:00;B96 B98;S
1;3;female;1992.3008823529408;0;0;330932;7875-07-01 00:00:00;B96 B98;Q
0;1;male;1994.0;0;0;113059;47.1;B96 B98;S
1;2;female;2005.0;0;0;SO/C 14885;2022-05-10 00:00:00;B96 B98;S
1;3;female;1989.0;3;0;3101278;15.85;B96 B98;S
0;3;male;2006.0;1;3;W./C. 6608;34.375;B96 B98;S
0;3;male;1992.3008823529408;0;0;SOTON/OQ 392086;2022-05-08 00:00:00;B96 B98;S
1;1;female;1999.0;3;2;19950;263.0;C23 C25 C27;S
0;3;male;1998.0;0;0;343275;2022-05-08 00:00:00;B96 B98;S
0;3;male;1993.0;0;0;343276;2022-05-08 00:00:00;B96 B98;S
0;3;male;2002.0;0;0;347466;8542-07-01 00:00:00;B96 B98;S
0;1;male;1976.0;1;0;W.E.P. 5734;61.175;E31;S
0;3;male;1996.0;1;2;C.A. 2315;20.575;B96 B98;S
0;3;male;1963.0;0;0;364500;2025-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;374910;2022-05-08 00:00:00;B96 B98;S
0;1;male;1951.0;0;0;PC 17754;34.6542;A5;C
1;1;male;1999.0;0;1;PC 17759;63.3583;D10 D12;C
1;2;female;1988.0;0;1;231919;23.0;B96 B98;S
0;2;male;1988.0;1;0;244367;26.0;B96 B98;S
0;3;female;1994.0;0;0;349245;8958-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;349215;8958-07-01 00:00:00;B96 B98;S
0;1;male;2001.0;0;1;35281;77.2875;D26;S
0;3;male;1989.0;0;0;7540;6542-08-01 00:00:00;B96 B98;S
0;3;male;1985.0;2;0;3101276;7.925;B96 B98;S
0;3;male;1994.0;0;0;349207;8958-07-01 00:00:00;B96 B98;S
1;3;female;2001.0;0;0;343120;1965-07-01 00:00:00;B96 B98;S
1;3;male;1992.3008823529408;0;0;312991;7.775;B96 B98;S
0;3;male;1984.0;0;0;349249;8958-07-01 00:00:00;B96 B98;S
1;3;female;1992.3008823529408;1;0;371110;24.15;B96 B98;Q
0;1;male;1975.0;0;0;110465;52.0;C110;S
0;3;female;2007.5;1;0;2665;14.4542;B96 B98;C
0;3;male;2000.0;0;0;324669;2022-05-08 00:00:00;B96 B98;S
0;3;female;2002.0;1;0;4136;9.825;B96 B98;S
0;3;female;2005.0;0;0;2627;14.4583;B96 B98;C
0;3;male;2001.0;0;0;STON/O 2. 3101294;7.925;B96 B98;S
0;3;male;1951.5;0;0;370369;1975-07-01 00:00:00;B96 B98;Q
0;2;male;1993.0;1;0;11668;21.0;B96 B98;S
0;1;male;1998.0;0;1;PC 17558;247.5208;B58 B60;C
0;3;female;2020.0;4;2;347082;31.275;B96 B98;S
0;2;male;2001.0;2;0;S.O.C. 14879;73.5;B96 B98;S
0;3;male;1992.3008823529408;0;0;A4. 54510;2022-05-08 00:00:00;B96 B98;S
0;2;male;1989.5;1;0;237736;30.0708;B96 B98;C
1;2;female;1989.5;0;0;27267;13.0;E101;S
0;1;male;1968.0;0;1;35281;77.2875;D26;S
1;3;male;2010.0;1;0;2651;2417-11-01 00:00:00;B96 B98;C
0;3;male;1992.3008823529408;0;0;370372;1975-07-01 00:00:00;B96 B98;Q
1;3;male;1998.0;0;0;C 17369;7.1417;B96 B98;S
1;3;female;1992.3008823529408;1;1;2668;22.3583;F E69;C
0;3;male;1977.0;0;0;347061;6.975;B96 B98;S
0;3;male;1989.0;0;0;349241;8958-07-01 00:00:00;B96 B98;C
0;3;male;2002.0;0;0;SOTON/O.Q. 3101307;2022-05-07 00:00:00;B96 B98;S
0;3;female;1975.0;1;0;A/5. 3337;2022-05-14 00:00:00;B96 B98;S
1;2;female;1993.0;1;0;228414;26.0;B96 B98;S
0;2;male;1997.0;0;0;C.A. 29178;13.0;B96 B98;S
0;2;male;1999.0;0;0;SC/PARIS 2133;15.0458;B96 B98;C
1;1;female;2003.0;0;2;11752;26.2833;D47;S
0;1;male;1985.0;1;0;113803;53.1;C123;S
0;3;male;2006.0;0;0;7534;2167-09-01 00:00:00;B96 B98;S
